Date,Close,Open,High,Low,Volume,Change_Pct,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_PctB,ATR_14,OBV,Daily_Return,Log_Return,Price_Range,Close_to_SMA20,Daily_Sentiment_Mean,Daily_Sentiment_Std,Positive_Count,Negative_Count,Neutral_Count,Total_Articles,Sentiment_Ratio,Sent_Mean_MA1,Sent_Mean_MA3,Sent_Mean_MA5,Sent_Mean_MA7,Sent_Mean_MA14,Sent_Mean_MA20,Sent_Ratio_MA1,Sent_Ratio_MA3,Sent_Ratio_MA5,Sent_Ratio_MA7,Sent_Ratio_MA14,Sent_Ratio_MA20,Articles_MA1,Articles_MA3,Articles_MA5,Articles_MA7,Articles_MA14,Articles_MA20,Sent_Momentum_3d,Sent_Momentum_7d
2026-02-01,76976.1,78720.6,79355.0,75766.8,76610.0,-2.22,89457.1,89201.42599999999,85314.78977589367,87946.07406872479,23.17636553638532,-2631.2842928311147,-1188.9641500015405,-1442.3201428295743,100290.8291545287,89457.1,78623.3708454713,0.24221060496100813,-0.07602510742031562,3251.992857142856,-2106068250.0,-0.02223393647628169,-0.022484836410931477,0.04661446864676175,-0.13951938974100433,-0.5,1.0,1,3,0,4,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
2026-02-02,78720.6,76956.6,79251.0,74635.5,124030.0,2.27,88623.35500000001,89012.73199999999,84300.2990411408,87262.70561918963,29.1657890284132,-2962.406578048831,-1543.6526356109987,-1418.7539424378322,100081.39045492039,88623.35500000001,77165.31954507963,0.25857823719087086,0.06786854784309881,3468.207142857141,-2105944220.0,0.0226628784778653,0.022409890603701688,0.05863141287032873,-0.11173978913346266,-0.4,0.8944271909999159,1,3,1,5,-0.4,-0.4,-0.45,-0.45,-0.45,-0.45,-0.45,-0.4,-0.45,-0.45,-0.45,-0.45,-0.45,5.0,4.5,4.5,4.5,4.5,4.5,0.0,0.0
2026-02-03,75724.8,78725.6,79158.4,73004.3,112170.0,-3.81,87562.87,88798.656,82980.9914963499,86408.0459436941,25.490473710267395,-3427.0544473441987,-1920.3329979576388,-1506.72144938656,99688.66902506279,87562.87,75437.0709749372,0.276962119333521,0.011864332588231618,3554.4928571428545,-2106056390.0,-0.03805611237719231,-0.03879915889204579,0.0812692803414468,-0.1351950889686461,-0.3333333333333333,0.5773502691896258,0,1,2,3,-0.3333333333333333,-0.3333333333333333,-0.41111111111111115,-0.41111111111111115,-0.41111111111111115,-0.41111111111111115,-0.41111111111111115,-0.3333333333333333,-0.41111111111111115,-0.41111111111111115,-0.41111111111111115,-0.41111111111111115,-0.41111111111111115,3.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
2026-02-04,73137.0,75734.8,76929.2,71913.4,113350.0,-3.42,86440.465,88504.328,81466.53126614222,85425.00550342047,22.815864261330518,-3958.4742372782493,-2327.961245821761,-1630.5129914564882,99555.10086496538,86440.465,73325.82913503461,0.30343742054060874,-0.007199175675897048,3683.2571428571414,-2106169740.0,-0.034173744929006156,-0.03477132112135467,0.06858088245347777,-0.15390320956741727,-0.9333333333333332,0.8144527815247078,0,2,1,3,-0.6666666666666666,-0.9333333333333332,-0.5555555555555555,-0.5416666666666666,-0.5416666666666666,-0.5416666666666666,-0.5416666666666666,-0.6666666666666666,-0.4666666666666666,-0.475,-0.475,-0.475,-0.475,3.0,3.6666666666666665,3.75,3.75,3.75,3.75,-0.43333333333333324,0.0
2026-02-05,62857.9,73136.1,73292.0,62562.2,259100.00000000003,-14.05,84805.88,88036.882,78603.66491750495,83753.36805872266,15.747677162440283,-5149.703141217702,-2892.3096249009495,-2257.3935163167525,100941.44790364255,84805.88,68670.31209635746,0.38052946101479146,-0.18011179188323861,4321.492857142855,-2106428840.0,-0.1405458249586392,-0.1514577714137771,0.17069930748561443,-0.2588025735951328,-0.25,0.957427107756338,1,2,1,4,-0.25,-0.25,-0.5055555555555555,-0.4833333333333333,-0.4833333333333333,-0.4833333333333333,-0.4833333333333333,-0.25,-0.4166666666666667,-0.43,-0.43,-0.43,-0.43,4.0,3.3333333333333335,3.8,3.8,3.8,3.8,0.15000000000000002,0.0
2026-02-06,70555.7,62863.8,71696.0,60187.0,234060.0,12.25,83576.595,87737.79400000001,77365.51646865804,82775.76301733579,32.589679401891374,-5410.246548677751,-3395.89700965631,-2014.3495390214412,100137.26778133439,83576.595,67015.92221866561,0.3962992936320124,0.10687300655212768,4957.97857142857,-2106194780.0,0.12246352487117762,0.115525845559478,0.16311935109424186,-0.15579594981106856,-0.25,0.957427107756338,1,2,1,4,-0.25,-0.25,-0.4777777777777777,-0.4333333333333333,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,-0.25,-0.38888888888888884,-0.38,-0.39999999999999997,-0.39999999999999997,-0.39999999999999997,4.0,3.6666666666666665,3.8,3.8333333333333335,3.8333333333333335,3.8333333333333335,0.08333333333333331,0.0
2026-02-07,69319.5,70556.0,71570.4,67397.4,113640.0,-1.75,82358.99,87361.556,76127.66778117219,81779.00279382944,31.500653521521855,-5651.335012657248,-3846.9846102564975,-1804.3504024007502,99369.32640731763,82358.99,65348.653592682385,0.41307782932543535,0.11671863249010789,5201.778571428571,-2106308420.0,-0.01752090901231218,-0.017676216902641623,0.06019951096011945,-0.15832503531187067,-1.0,0.0,0,2,0,2,-1.0,-1.0,-0.5,-0.5533333333333333,-0.5238095238095238,-0.5238095238095238,-0.5238095238095238,-1.0,-0.49999999999999994,-0.5,-0.4857142857142857,-0.4857142857142857,-0.4857142857142857,2.0,3.3333333333333335,3.2,3.5714285714285716,3.5714285714285716,3.5714285714285716,-0.06666666666666676,0.0
2026-02-08,70342.0,69318.8,72204.2,68888.1,64849.99999999999,1.48,81245.2,87001.116,75237.56504560723,80931.81740169393,33.48065421645423,-5694.252356086698,-4216.438159422538,-1477.8141966641597,98344.13280781954,81245.2,64146.26719218046,0.4209216743344724,0.18117308481925148,5209.592857142857,-2106243570.0,0.01475053917007485,0.014642808069643265,0.047142532199823596,-0.1342011589607755,-1.0,0.0,0,1,0,1,-1.0,-1.0,-0.75,-0.6866666666666666,-0.5952380952380951,-0.5833333333333333,-0.5833333333333333,-1.0,-0.75,-0.6333333333333333,-0.5571428571428572,-0.55,-0.55,1.0,2.3333333333333335,2.8,3.142857142857143,3.25,3.25,-0.75,-0.5
2026-02-09,70127.9,70356.0,71379.5,68389.3,89050.0,-0.3,80331.57999999999,86630.938,74451.46273089842,80131.52722379068,33.263839218196,-5680.064492892256,-4509.163426116482,-1170.9010667757739,97770.06745995363,80331.57999999999,62893.09254004635,0.43416269068661767,0.20743792936652075,5259.607142857142,-2106332620.0,-0.0030437007762077473,-0.003048342253987701,0.04263923488369105,-0.1270195357790796,1.0,0.0,1,0,0,1,1.0,1.0,-0.3333333333333333,-0.3,-0.3952380952380952,-0.4074074074074074,-0.4074074074074074,1.0,-0.33333333333333326,-0.3,-0.35714285714285715,-0.37777777777777777,-0.37777777777777777,1.0,1.3333333333333333,2.4,2.5714285714285716,3.0,3.0,1.25,1.4
2026-02-11,67048.8,68809.2,69273.9,65790.0,89970.0,-2.56,78176.82,85827.81800000001,72578.23899667875,78385.94611093165,30.110909987518625,-5807.707114252902,-4960.898216889409,-846.8088973634931,95908.76962268644,78176.82,60444.870377313586,0.4536370147234544,0.186215553371449,5410.107142857142,-2106492880.0,-0.025599365211312786,-0.02593273056049417,0.05196066148834869,-0.14234423963522697,0.0,0.0,0,0,1,1,0.0,0.0,0.0,-0.25,-0.3476190476190476,-0.36666666666666664,-0.36666666666666664,0.0,7.401486830834377e-17,-0.25,-0.3095238095238095,-0.33999999999999997,-0.33999999999999997,1.0,1.0,1.8,2.2857142857142856,2.8,2.8,1.0,0.3333333333333333
